Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Aarnet,0000,0,0.154,0.387,0.541,0.8999912
Aarnet,0001,0,0.154,0.384,0.538,0.8999904
Aarnet,0002,0,0.154,0.53,0.684,0.90013475
Aarnet,0003,0,0.154,0.337,0.491,0.8999904
Aarnet,0004,0,0.154,0.75,0.904,0.9312185
Arnes,0000,0,0.303,4.658,4.961,0.90005025
Arnes,0001,0,0.303,4.245,4.548,0.900062125
Arnes,0002,0,0.303,2.776,3.0789999999999997,0.9000575
Arnes,0003,0,0.303,3.158,3.461,0.89999275
Arnes,0004,0,0.303,4.588,4.891,0.90006575
Belnet2005,0000,0,0.288,8.03,8.318,1.05476912
Belnet2005,0001,0,0.288,6.888,7.176,0.9000560999999999
Belnet2005,0002,0,0.288,4.368,4.656000000000001,0.9000807
Belnet2005,0003,0,0.288,17.583,17.871,0.92145975
Belnet2005,0004,0,0.288,6.306,6.594,1.3781444
Belnet2006,0000,0,0.28,32.526,32.806000000000004,1.0410276
Belnet2006,0001,0,0.28,3.235,3.5149999999999997,3.5466366666666667
Belnet2006,0002,0,0.28,4.166,4.446000000000001,1.0638994
Belnet2006,0003,0,0.28,3.326,3.606,1.1730283333333333
Belnet2006,0004,0,0.28,3.146,3.426,0.9000791
Cernet,0000,0,0.244,1.923,2.167,0.939962441577081
Cernet,0001,0,0.244,1.437,1.681,0.9057544536554224
Cernet,0002,0,0.244,2.19,2.434,0.9095708740488073
Cernet,0003,0,0.244,1.771,2.0149999999999997,0.9237896
Cernet,0004,0,0.244,1.02,1.264,0.8998107526881717
Cesnet2001,0000,0,0.06,0.075,0.135,0.9439983220810729
Cesnet2001,0001,0,0.06,1.498,1.558,1.0101677419354838
Cesnet2001,0002,0,0.06,0.19,0.25,0.9875354838709676
Cesnet2001,0003,0,0.06,0.134,0.194,1.0209717191299763
Cesnet2001,0004,0,0.06,0.252,0.312,0.9000451612903225
Cesnet200304,0000,0,1.063,0.437,1.5,0.900046
Cesnet200304,0001,0,1.063,0.19,1.253,0.8999583333333333
Cesnet200304,0002,0,1.063,2.828,3.891,0.90004
Cesnet200304,0003,0,1.063,0.261,1.3239999999999998,0.9000028
Cesnet200304,0004,0,1.063,0.326,1.389,0.8999533333333334
Cesnet201006,0000,0,0.726,12.202,12.928,0.9000470359706886
Cesnet201006,0001,0,0.726,11.696,12.422,0.8999786061377235
Cesnet201006,0002,0,0.726,11.584,12.309999999999999,0.9000555579015598
Cesnet201006,0003,0,0.726,11.618,12.344000000000001,0.900129414635776
Cesnet201006,0004,0,0.726,16.56,17.285999999999998,0.9000067157902985
Eenet,0000,0,0.042,0.151,0.193,0.947455
Eenet,0001,0,0.042,0.092,0.134,0.9000335
Eenet,0002,0,0.042,0.078,0.12,0.9428179999999999
Eenet,0003,0,0.042,0.102,0.144,0.901251
Eenet,0004,0,0.042,0.093,0.135,0.9369129999999987
Esnet,0000,0,1.488,62.523,64.01100000000001,0.9003595
Esnet,0001,0,1.488,61.137,62.625,0.9001609
Esnet,0002,0,1.488,39.539,41.027,0.9001193881282683
Esnet,0003,0,1.488,48.949,50.437,0.9002194
Esnet,0004,0,1.488,38.229,39.717,0.9002462495244554
Garr200902,0000,0,0.54,9.317,9.857,0.9001396
Garr200902,0001,0,0.54,6.883,7.423,0.899908
Garr200902,0002,0,0.54,8.716,9.256,0.9000044
Garr200902,0003,0,0.54,5.232,5.772,0.899902
Garr200902,0004,0,0.54,15.229,15.768999999999998,0.904712
Garr200908,0000,0,0.547,8.271,8.818000000000001,0.9000604
Garr200908,0001,0,0.547,7.331,7.878,0.9000432
Garr200908,0002,0,0.547,3.934,4.481,0.9112488000000001
Garr200908,0003,0,0.547,11.338,11.885,0.9000864
Garr200908,0004,0,0.547,4.275,4.822,0.8999153846153846
Garr200909,0000,0,1.31,6.792,8.102,0.9298596
Garr200909,0001,0,1.31,3.939,5.2490000000000006,0.8999169230769231
Garr200909,0002,0,1.31,5.104,6.414,0.9495032000000001
Garr200909,0003,0,1.31,6.135,7.445,0.9000432
Garr200909,0004,0,1.31,6.872,8.182,0.9000623999999999
Garr200912,0000,0,1.423,11.08,12.503,0.9009030769230769
Garr200912,0001,0,1.423,3.891,5.314,0.934085
Garr200912,0002,0,1.423,4.88,6.303,0.8999138461538462
Garr200912,0003,0,1.423,6.032,7.455,0.8999261538461538
Garr200912,0004,0,1.423,10.513,11.936,0.9000788
Garr201001,0000,0,3.075,11.478,14.553,0.934234
Garr201001,0001,0,3.075,5.1,8.175,0.8999184615384616
Garr201001,0002,0,3.075,6.855,9.93,0.8999169230769231
Garr201001,0003,0,3.075,13.851,16.926000000000002,0.9000856
Garr201001,0004,0,3.075,8.63,11.705000000000002,0.986385
Garr201003,0000,0,0.51,9.28,9.79,0.9001066999999997
Garr201003,0001,0,0.51,9.685,10.195,0.9001583999999999
Garr201003,0002,0,0.51,6.486,6.9959999999999996,0.8999184615384616
Garr201003,0003,0,0.51,7.432,7.942,0.8999230769230769
Garr201003,0004,0,0.51,4.987,5.497,0.8999169230769231
Garr201004,0000,0,0.538,8.288,8.826,0.9119082666666668
Garr201004,0001,0,0.538,10.071,10.609,0.934679
Garr201004,0002,0,0.538,9.14,9.678,0.9000548
Garr201004,0003,0,0.538,3.997,4.535,0.8999230769230768
Garr201004,0004,0,0.538,11.47,12.008000000000001,0.9002684
Garr201005,0000,0,0.655,9.0,9.655,0.9001124
Garr201005,0001,0,0.655,6.809,7.464,0.9000394366197183
Garr201005,0002,0,0.655,19.206,19.861,0.9001596
Garr201005,0003,0,0.655,6.292,6.947,0.9000888
Garr201005,0004,0,0.655,6.526,7.181,0.9007613666666668
Garr201007,0000,0,0.645,5.148,5.792999999999999,0.8999246153846057
Garr201007,0001,0,0.645,11.354,11.998999999999999,0.9090436166666664
Garr201007,0002,0,0.645,6.212,6.856999999999999,0.9000895999999999
Garr201007,0003,0,0.645,8.631,9.276,0.9000252415013246
Garr201007,0004,0,0.645,9.324,9.969,0.9174811666666663
Garr201008,0000,0,0.554,6.155,6.7090000000000005,0.8999061538461537
Garr201008,0001,0,0.554,7.72,8.274,0.9000271999999999
Garr201008,0002,0,0.554,5.484,6.038,0.8999911999999999
Garr201008,0003,0,0.554,7.992,8.546,0.9000272
Garr201008,0004,0,0.554,14.331,14.885,0.9089892307692308
Garr201010,0000,0,0.578,8.591,9.168999999999999,0.9000328
Garr201010,0001,0,0.578,9.26,9.838,0.9000771999999999
Garr201010,0002,0,0.578,7.464,8.042,0.9000707692307691
Garr201010,0003,0,0.578,11.126,11.703999999999999,0.9001848
Garr201010,0004,0,0.578,7.196,7.774,0.9000879999999999
Garr201101,0000,0,0.597,12.609,13.206,0.9001207999999999
Garr201101,0001,0,0.597,10.775,11.372,0.9000228
Garr201101,0002,0,0.597,26.423,27.02,0.9007536
Garr201101,0003,0,0.597,13.269,13.866,0.9000332
Garr201101,0004,0,0.597,11.873,12.469999999999999,0.9001044
Garr201102,0000,0,1.112,6.428,7.54,0.89994
Garr201102,0001,0,1.112,7.726,8.838000000000001,0.89995
Garr201102,0002,0,1.112,9.682,10.794,0.8999449999999882
Garr201102,0003,0,1.112,7.048,8.16,0.89995
Garr201102,0004,0,1.112,6.562,7.674,0.899944
Garr201103,0000,0,0.696,10.357,11.052999999999999,0.8999409999999999
Garr201103,0001,0,0.696,5.789,6.484999999999999,0.899944
Garr201103,0002,0,0.696,11.248,11.943999999999999,0.899949
Garr201103,0003,0,0.696,8.605,9.301,0.899944
Garr201103,0004,0,0.696,7.299,7.995,0.899947
Garr201104,0000,0,1.416,7.55,8.966,0.899941
Garr201104,0001,0,1.416,7.03,8.446,0.899944
Garr201104,0002,0,1.416,7.145,8.561,0.8999715
Garr201104,0003,0,1.416,7.943,9.359,0.899941
Garr201104,0004,0,1.416,11.872,13.288,0.899939
Garr201105,0000,0,1.461,8.66,10.121,0.90005
Garr201105,0001,0,1.461,7.403,8.863999999999999,0.8999469999999999
Garr201105,0002,0,1.461,10.044,11.505,0.899943
Garr201105,0003,0,1.461,9.006,10.467,0.899944
Garr201105,0004,0,1.461,10.463,11.924,0.9000796
Garr201107,0000,0,1.819,13.076,14.895,0.899945
Garr201107,0001,0,1.819,6.92,8.739,0.899946
Garr201107,0002,0,1.819,12.275,14.094000000000001,0.9000644
Garr201107,0003,0,1.819,7.356,9.175,0.899947
Garr201107,0004,0,1.819,9.213,11.032,0.899947
Garr201108,0000,0,1.288,7.878,9.166,0.899946
Garr201108,0001,0,1.288,10.521,11.809000000000001,0.8999724
Garr201108,0002,0,1.288,7.762,9.049999999999999,0.8999648
Garr201108,0003,0,1.288,13.746,15.034,0.9000084
Garr201108,0004,0,1.288,10.365,11.653,0.9000376
Garr201109,0000,0,0.803,11.606,12.409,0.9000400000000001
Garr201109,0001,0,0.803,13.209,14.012,0.8999656
Garr201109,0002,0,0.803,15.57,16.373,0.9000643999999999
Garr201109,0003,0,0.803,16.27,17.073,0.9000992
Garr201109,0004,0,0.803,14.3,15.103000000000002,0.9000008
Garr201110,0000,0,0.72,9.158,9.878,0.899938
Garr201110,0001,0,0.72,10.824,11.544,0.9000611999999997
Garr201110,0002,0,0.72,7.113,7.833,0.899966
Garr201110,0003,0,0.72,7.953,8.673,0.8999876
Garr201110,0004,0,0.72,7.56,8.28,0.9000756
Garr201111,0000,0,1.466,9.552,11.017999999999999,0.8999852
Garr201111,0001,0,1.466,10.558,12.024,0.8999644
Garr201111,0002,0,1.466,7.623,9.089,0.9000204
Garr201111,0003,0,1.466,10.437,11.902999999999999,0.8999772
Garr201111,0004,0,1.466,9.485,10.950999999999999,0.9000036
Garr201112,0000,0,1.091,7.919,9.01,0.8999929999999999
Garr201112,0001,0,1.091,7.537,8.628,0.900023
Garr201112,0002,0,1.091,10.077,11.168,0.9000464
Garr201112,0003,0,1.091,6.872,7.963,0.899938
Garr201112,0004,0,1.091,8.966,10.056999999999999,0.9000144
Garr201201,0000,0,0.74,11.72,12.46,0.9000464
Garr201201,0001,0,0.74,15.041,15.781,0.90007245
Garr201201,0002,0,0.74,7.872,8.612,0.899939
Garr201201,0003,0,0.74,11.807,12.547,0.900102
Garr201201,0004,0,0.74,7.755,8.495,0.9000904
Geant2001,0000,0,0.398,18.19,18.588,0.9146379
Geant2001,0001,0,0.398,5.727,6.125,0.8999831189710611
Geant2001,0002,0,0.398,5.888,6.286,0.8999927652733118
Geant2001,0003,0,0.398,4.675,5.0729999999999995,0.9127444
Geant2001,0004,0,0.398,5.607,6.005,0.9000369774919614
Geant2009,0000,0,2.43,28.928,31.358,0.900188
Geant2009,0001,0,2.43,105.579,108.009,0.90008915
Geant2009,0002,0,2.43,33.792,36.222,0.9001209
Geant2009,0003,0,2.43,40.054,42.484,0.9001365625
Geant2009,0004,0,2.43,37.697,40.127,0.90008563125
Geant2010,0000,0,0.527,9.393,9.92,0.9000773129770993
Geant2010,0001,0,0.527,9.9,10.427,0.900067175572519
Geant2010,0002,0,0.527,22.935,23.462,0.9002127633587785
Geant2010,0003,0,0.527,11.809,12.335999999999999,0.9000708
Geant2010,0004,0,0.527,7.821,8.347999999999999,0.9000474
Geant2012,0000,0,2.017,10.133,12.149999999999999,0.900055618609825
Geant2012,0001,0,2.017,10.48,12.497,0.90008415
Geant2012,0002,0,2.017,11.294,13.311,0.9000669209364576
Geant2012,0003,0,2.017,13.066,15.083,0.9000886883803431
Geant2012,0004,0,2.017,9.359,11.376,0.9000930139621408
Grnet,0000,0,0.166,2.837,3.003,0.899951
Grnet,0001,0,0.166,1.15,1.3159999999999998,0.899992
Grnet,0002,0,0.166,0.479,0.645,0.899947
Grnet,0003,0,0.166,0.889,1.055,0.899951
Grnet,0004,0,0.166,0.463,0.629,0.89995
Iij,0000,0,4.469,29.087,33.556,0.9000157820671509
Iij,0001,0,4.469,43.04,47.509,0.9000557102784207
Iij,0002,0,4.469,28.841,33.31,0.9000626342940884
Iij,0003,0,4.469,30.65,35.119,0.9000523696711034
Iij,0004,0,4.469,32.841,37.31,0.9000555679467808
Internetmci,0000,0,0.25,8.019,8.269,0.899937037037037
Internetmci,0001,0,0.25,12.366,12.616,0.8999777777777778
Internetmci,0002,0,0.25,28.537,28.787,0.9000193548387097
Internetmci,0003,0,0.25,7.601,7.851,0.9011763440860214
Internetmci,0004,0,0.25,33.927,34.177,0.8999962962962962
Internode,0000,0,0.402,4.261,4.663,0.9900435555555556
Internode,0001,0,0.402,2.973,3.375,1.0383022916666667
Internode,0002,0,0.402,2.456,2.858,0.9952420833333333
Internode,0003,0,0.402,2.331,2.733,1.0704627083333333
Internode,0004,0,0.402,2.783,3.185,1.040275625
Karen,0000,0,0.113,0.921,1.034,0.9000116
Karen,0001,0,0.113,0.801,0.914,0.9206591999999993
Karen,0002,0,0.113,0.766,0.879,0.9010468
Karen,0003,0,0.113,0.612,0.725,0.9785005
Karen,0004,0,0.113,2.495,2.608,0.9000293
KentmanApr2007,0000,0,0.079,0.324,0.403,0.89968
KentmanApr2007,0001,0,0.079,2.867,2.946,0.89969
KentmanApr2007,0002,0,0.079,0.218,0.297,0.89972
KentmanApr2007,0003,0,0.079,0.233,0.312,0.89971
KentmanApr2007,0004,0,0.079,0.528,0.607,0.89972
KentmanFeb2008,0000,0,0.107,0.287,0.39399999999999996,0.8997
KentmanFeb2008,0001,0,0.107,0.392,0.499,0.89989
KentmanFeb2008,0002,0,0.107,0.269,0.376,0.89968
KentmanFeb2008,0003,0,0.107,0.281,0.388,0.89969
KentmanFeb2008,0004,0,0.107,0.29,0.39699999999999996,0.89966
Marnet,0000,0,0.044,0.095,0.139,1.786316129032258
Marnet,0001,0,0.044,0.135,0.179,2.061032258064516
Marnet,0002,0,0.044,0.098,0.14200000000000002,1.7421483870967738
Marnet,0003,0,0.044,0.12,0.16399999999999998,1.6649161290322576
Marnet,0004,0,0.044,0.118,0.16199999999999998,1.8089548387096772
Niif,0000,0,0.114,0.327,0.441,0.89996
Niif,0001,0,0.114,0.225,0.339,0.9000319999999999
Niif,0002,0,0.114,0.248,0.362,0.899957
Niif,0003,0,0.114,0.217,0.331,0.900012
Niif,0004,0,0.114,2.077,2.191,0.8999739999999999
Nordu2005,0000,0,0.034,0.104,0.138,0.9218342
Nordu2005,0001,0,0.034,0.061,0.095,0.9348478
Nordu2005,0002,0,0.034,0.067,0.101,0.901566
Nordu2005,0003,0,0.034,1.081,1.115,0.9144892
Nordu2005,0004,0,0.034,0.074,0.108,0.91900315
Ntt,0000,0,23.062,683.586,706.648,0.9406571920680082
Ntt,0001,0,23.062,989.956,1013.018,0.9904184349279835
Ntt,0002,0,23.062,548.05,571.112,1.1195891203703703
Ntt,0003,0,23.062,793.605,816.667,0.9190654954091445
Ntt,0004,1,23.062,1809.011,1832.0729999999999,0.9282596541039735
Pacificwave,0000,0,0.079,0.879,0.958,0.9000876
Pacificwave,0001,0,0.079,1.473,1.552,0.9000601
Pacificwave,0002,0,0.079,0.826,0.9049999999999999,0.89999935
Pacificwave,0003,0,0.079,1.261,1.3399999999999999,0.90018135
Pacificwave,0004,0,0.079,0.288,0.367,0.90008815
Rediris,0000,0,1.139,0.928,2.067,0.9000299999999999
Rediris,0001,0,1.139,2.207,3.346,0.9000283
Rediris,0002,0,1.139,2.145,3.284,0.9000296
Rediris,0003,0,1.139,1.146,2.285,0.9000172
Rediris,0004,0,1.139,3.138,4.277,0.9000492
Roedunet,0000,0,0.127,0.16,0.28700000000000003,1.0406641102355563
Roedunet,0001,0,0.127,0.17,0.29700000000000004,1.197659465020576
Roedunet,0002,0,0.127,0.153,0.28,1.1239776234567902
Roedunet,0003,0,0.127,0.159,0.28600000000000003,0.9624164094650206
Roedunet,0004,0,0.127,0.195,0.322,1.0270110825502508
SwitchL3,0000,0,0.159,19.605,19.764,0.900021
SwitchL3,0001,0,0.159,20.689,20.848,0.8999981
SwitchL3,0002,0,0.159,16.521,16.68,0.9000326
SwitchL3,0003,0,0.159,20.853,21.012,0.9000295
SwitchL3,0004,0,0.159,25.61,25.769,0.9000616
TLex,0000,0,2.431,0.128,2.559,1.4800004300819942
TLex,0001,0,2.431,0.346,2.777,1.554011635232317
TLex,0002,0,2.431,0.124,2.555,1.013655860503208
TLex,0003,0,2.431,0.275,2.706,0.9153998429897846
TLex,0004,0,2.431,0.746,3.177,0.9005026507588827
Ulaknet,0000,0,0.039,0.242,0.28099999999999997,0.89985
Ulaknet,0001,0,0.039,0.293,0.33199999999999996,0.899832
Ulaknet,0002,0,0.039,0.229,0.268,0.899846
Ulaknet,0003,0,0.039,2.14,2.1790000000000003,0.9225875
Ulaknet,0004,0,0.039,0.251,0.29,0.899844
Uninett2010,0000,0,0.302,92.071,92.373,0.899835
Uninett2010,0001,0,0.302,79.617,79.91900000000001,0.899832
Uninett2010,0002,0,0.302,87.829,88.131,0.9000305999999998
Uninett2010,0003,0,0.302,102.821,103.123,0.899827
Uninett2010,0004,0,0.302,133.443,133.745,0.9000351333333334
Uninett2011,0000,0,12.673,51.548,64.221,0.899902
Uninett2011,0001,0,12.673,79.928,92.601,0.899905
Uninett2011,0002,0,12.673,81.419,94.092,0.899924
Uninett2011,0003,0,12.673,83.259,95.932,0.900038
Uninett2011,0004,0,12.673,114.184,126.857,0.9000335
WideJpn,0000,0,5.393,0.263,5.656,0.9221412
WideJpn,0001,0,5.393,0.134,5.527,0.899949
WideJpn,0002,0,5.393,0.194,5.587,0.9435195
WideJpn,0003,0,5.393,0.097,5.49,0.899945
WideJpn,0004,0,5.393,0.129,5.522,0.9155576999999999
